,xbox,ybox,width,high,onpix,xbar,ybar,x2bar,y2bar,xybar,x2ybar,xy2bar,xege,xegvy,yege,yegvx,class
0,0.1333333333333333,0.5333333333333333,0.2,0.3333333333333333,0.0666666666666666,0.5333333333333333,0.8666666666666667,0.0,0.4,0.4,0.6666666666666666,0.5333333333333333,0.0,0.5333333333333333,0.0,0.5333333333333333,T
1,0.3333333333333333,0.8,0.2,0.4666666666666667,0.1333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.2666666666666666,0.8666666666666667,0.2,0.6,0.1333333333333333,0.5333333333333333,0.2666666666666666,0.6666666666666666,I
2,0.2666666666666666,0.7333333333333333,0.4,0.5333333333333333,0.4,0.6666666666666666,0.4,0.1333333333333333,0.4,0.6666666666666666,0.2,0.4666666666666667,0.2,0.4666666666666667,0.2,0.6,D
3,0.4666666666666667,0.7333333333333333,0.4,0.4,0.2,0.3333333333333333,0.6,0.2666666666666666,0.4,0.2666666666666666,0.2666666666666666,0.6666666666666666,0.4,0.6666666666666666,0.1333333333333333,0.5333333333333333,N
4,0.1333333333333333,0.0666666666666666,0.2,0.0666666666666666,0.0666666666666666,0.5333333333333333,0.4,0.4,0.4,0.4,0.3333333333333333,0.6,0.0666666666666666,0.4666666666666667,0.3333333333333333,0.6666666666666666,G
5,0.2666666666666666,0.7333333333333333,0.3333333333333333,0.5333333333333333,0.2,0.5333333333333333,0.5333333333333333,0.4,0.6,0.3333333333333333,0.4,0.4,0.0,0.5333333333333333,0.6,0.4666666666666667,S
6,0.2666666666666666,0.1333333333333333,0.3333333333333333,0.2666666666666666,0.2666666666666666,0.5333333333333333,0.4666666666666667,0.4,0.4,0.4666666666666667,0.4,0.4,0.1333333333333333,0.5333333333333333,0.4666666666666667,0.6666666666666666,B
7,0.0666666666666666,0.0666666666666666,0.2,0.1333333333333333,0.0666666666666666,0.5333333333333333,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.5333333333333333,0.1333333333333333,0.5333333333333333,0.0666666666666666,0.4,0.1333333333333333,0.4666666666666667,A
8,0.1333333333333333,0.1333333333333333,0.2666666666666666,0.2666666666666666,0.1333333333333333,0.6666666666666666,0.4,0.1333333333333333,0.4,0.8,0.2666666666666666,0.5333333333333333,0.0666666666666666,0.4,0.0666666666666666,0.4666666666666667,J
9,0.7333333333333333,1.0,0.8666666666666667,0.6,0.4666666666666667,0.8666666666666667,0.1333333333333333,0.4,0.1333333333333333,0.8,0.0666666666666666,0.6,0.5333333333333333,0.0666666666666666,0.0666666666666666,0.5333333333333333,M
10,0.2,0.6,0.3333333333333333,0.4666666666666667,0.2666666666666666,0.5333333333333333,0.4666666666666667,0.2,0.5333333333333333,0.3333333333333333,0.4,0.5333333333333333,0.1333333333333333,0.5333333333333333,0.4,0.4666666666666667,X
11,0.4,0.8666666666666667,0.2666666666666666,0.4666666666666667,0.2666666666666666,0.4,0.4666666666666667,0.4,0.2,0.6666666666666666,0.4666666666666667,0.6,0.3333333333333333,0.6,0.3333333333333333,0.5333333333333333,O
12,0.2666666666666666,0.6,0.4,0.4666666666666667,0.4,0.4666666666666667,0.5333333333333333,0.4,0.1333333333333333,0.4,0.3333333333333333,0.7333333333333333,0.2666666666666666,0.5333333333333333,0.4666666666666667,0.5333333333333333,G
13,0.4,0.6,0.5333333333333333,0.4,0.6,0.4666666666666667,0.5333333333333333,0.4,0.3333333333333333,0.4666666666666667,0.3333333333333333,0.5333333333333333,0.5333333333333333,0.6,0.5333333333333333,0.4,M
14,0.3333333333333333,0.6,0.3333333333333333,0.4666666666666667,0.4,0.4,0.7333333333333333,0.4666666666666667,0.2,0.4666666666666667,0.2,0.6,0.1333333333333333,0.4666666666666667,0.3333333333333333,0.7333333333333333,R
15,0.4,0.6,0.3333333333333333,0.2666666666666666,0.2,0.6666666666666666,0.4,0.2,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4666666666666667,0.2,0.6,0.4,0.6,F
16,0.2,0.2666666666666666,0.2666666666666666,0.2,0.1333333333333333,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.3333333333333333,0.4666666666666667,0.4,0.5333333333333333,0.1333333333333333,0.5333333333333333,0.2,0.5333333333333333,O
17,0.4666666666666667,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.1333333333333333,0.4,0.5333333333333333,0.4,0.5333333333333333,0.7333333333333333,0.4666666666666667,0.7333333333333333,0.1333333333333333,0.5333333333333333,0.3333333333333333,0.6,C
18,0.4,0.7333333333333333,0.4,0.5333333333333333,0.3333333333333333,0.4,0.7333333333333333,0.3333333333333333,0.4,0.7333333333333333,0.6,0.2666666666666666,0.2,0.8,0.1333333333333333,0.2666666666666666,T
